classId,nameTh,nameEn,label,category,hours,unit,numberQuestion,numberRecap,numberReviewer,stats/how,stats/homework,stats/interest,stats/updateAt
1175123,วอลเลย์บอลเพื่อสุขภาพ,Volleyball for Health,01175123 วอลเลย์บอลเพื่อสุขภาพ (Volleyball for Health),ยังไม่มีข้อมูล,0-0-0,0,7,0,11,94.54545454545456,94.54545454545456,98.1818181818182,2023-11-15T03:19:24.557Z
1175117,ฝึกสมาธิด้วยกิจกรรมยิงธนู,Meditation with Archery Activity,01175117 ฝึกสมาธิด้วยกิจกรรมยิงธนู (Meditation with Archery Activity),ยังไม่มีข้อมูล,0-0-0,0,5,0,7,-171.42857142857142,-180.0,-171.42857142857142,2023-11-16T00:25:04.903Z
1175131,ว่ายน้ำเพื่อสุขภาพ,Swimming for Health,01175131 ว่ายน้ำเพื่อสุขภาพ (Swimming for Health),ยังไม่มีข้อมูล,0-0-0,0,2,0,14,88.57142857142857,94.28571428571428,95.71428571428572,2023-11-14T15:49:46.671Z
1175141,การเต้นแอโรบิกเพื่อสุขภาพ,Aerobic Dance for Health,01175141 การเต้นแอโรบิกเพื่อสุขภาพ (Aerobic Dance for Health),ยังไม่มีข้อมูล,0-0-0,0,4,0,1,80.0,100.0,80.0,2021-11-18T14:54:32.911Z
1175153,ศิลปะการป้องกันตัวและการต่อสู้ด้วยมวยไทย,Martial Art with Thai Boxing,01175153 ศิลปะการป้องกันตัวและการต่อสู้ด้วยมวยไทย (Martial Art with Thai Boxing),ยังไม่มีข้อมูล,0-0-0,0,1,0,5,92.0,80.0,92.0,2023-11-09T17:42:12.665Z
1175154,ศิลปะการป้องกันตัวและการต่อสู้ด้วยมวยสากล,Martial Art with Boxing,01175154 ศิลปะการป้องกันตัวและการต่อสู้ด้วยมวยสากล (Martial Art with Boxing),ยังไม่มีข้อมูล,0-0-0,0,1,0,2,60.0,60.0,60.0,2021-11-23T00:29:10.861Z
1175156,ศิลปะการป้องกันตัวและการต่อสู้ด้วยไอกิโด,Martial Art with Aikido,01175156 ศิลปะการป้องกันตัวและการต่อสู้ด้วยไอกิโด (Martial Art with Aikido),ยังไม่มีข้อมูล,0-0-0,0,1,0,1,-1800.0,-1800.0,-1040.0,2024-01-12T10:25:00.219Z
1175164,จักรยานเพื่อสุขภาพ,Cycling for Health,01175164 จักรยานเพื่อสุขภาพ (Cycling for Health),ยังไม่มีข้อมูล,0-0-0,0,0,0,0,0.0,0.0,0.0,2020-05-04T16:26:45.188Z
3768112,การฝึกโดยการใช้น้ำหนัก,Weight Training,03768112 การฝึกโดยการใช้น้ำหนัก  (Weight Training),ยังไม่มีข้อมูล,0-0-0,0,0,0,0,0.0,0.0,0.0,2022-04-15T18:22:27.853Z
3768141,นาฏศิลป์และลีลาศ,Thai Classical and Social Dances,03768141 นาฏศิลป์และลีลาศ (Thai Classical and Social Dances),ยังไม่มีข้อมูล,0-0-0,0,0,0,0,0.0,0.0,0.0,2020-05-03T12:28:00.203Z
4804311,ปรัชญาเศรษฐกิจพอเพียง,Philosophy of Sufficiency Economy,04804311 ปรัชญาเศรษฐกิจพอเพียง (Philosophy of Sufficiency Economy),ยังไม่มีข้อมูล,0-0-0,0,0,0,0,0.0,0.0,0.0,2020-05-03T12:28:00.203Z
1999041,เศรษฐศาสตร์เพื่อการดำเนินชีวิตที่ดี,Economics for Better Living,01999041 เศรษฐศาสตร์เพื่อการดำเนินชีวิตที่ดี (Economics for Better Living),ยังไม่มีข้อมูล,0-0-0,0,7,0,20,74.0,81.0,71.0,2023-11-27T20:01:56.781Z
